name,url,year,prize,desc
Carolyn Bertozzi,https://www.nobelprize.org/prizes/chemistry/2022/bertozzi/facts/,2022,The Nobel Prize in Chemistry,“for the development of click chemistry and bioorthogonal chemistry”
Morten Meldal,https://www.nobelprize.org/prizes/chemistry/2022/meldal/facts/,2022,The Nobel Prize in Chemistry,“for the development of click chemistry and bioorthogonal chemistry”
K. Barry Sharpless,https://www.nobelprize.org/prizes/chemistry/2022/sharpless/facts/,2022,The Nobel Prize in Chemistry,“for the development of click chemistry and bioorthogonal chemistry”
Svante Pääbo,https://www.nobelprize.org/prizes/medicine/2022/paabo/facts/,2022,The Nobel Prize in Physiology or Medicine,“for his discoveries concerning the genomes of extinct hominins and human evolution”
Annie Ernaux,https://www.nobelprize.org/prizes/literature/2022/ernaux/facts/,2022,The Nobel Prize in Literature,"“for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory”"
Ales Bialiatski,https://www.nobelprize.org/prizes/peace/2022/bialiatski/facts/,2022,The Nobel Peace Prize,"“The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy”"
Memorial,https://www.nobelprize.org/prizes/peace/2022/memorial/facts/,2022,The Nobel Peace Prize,"“The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy”"
Center for Civil Liberties,https://www.nobelprize.org/prizes/peace/2022/center-for-civil-liberties/facts/,2022,The Nobel Peace Prize,"“The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy”"
Ben Bernanke,https://www.nobelprize.org/prizes/economic-sciences/2022/bernanke/facts/,2022,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for research on banks and financial crises”
Douglas Diamond,https://www.nobelprize.org/prizes/economic-sciences/2022/diamond/facts/,2022,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for research on banks and financial crises”
Philip Dybvig,https://www.nobelprize.org/prizes/economic-sciences/2022/dybvig/facts/,2022,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for research on banks and financial crises”
Syukuro Manabe,https://www.nobelprize.org/prizes/physics/2021/manabe/facts/,2021,The Nobel Prize in Physics,“for groundbreaking contributions to our understanding of complex physical systems”
Klaus Hasselmann,https://www.nobelprize.org/prizes/physics/2021/hasselmann/facts/,2021,The Nobel Prize in Physics,“for groundbreaking contributions to our understanding of complex physical systems”
Giorgio Parisi,https://www.nobelprize.org/prizes/physics/2021/parisi/facts/,2021,The Nobel Prize in Physics,“for groundbreaking contributions to our understanding of complex physical systems”
Benjamin List,https://www.nobelprize.org/prizes/chemistry/2021/list/facts/,2021,The Nobel Prize in Chemistry,“for the development of asymmetric organocatalysis”
David W.C. MacMillan,https://www.nobelprize.org/prizes/chemistry/2021/macmillan/facts/,2021,The Nobel Prize in Chemistry,“for the development of asymmetric organocatalysis”
David Julius,https://www.nobelprize.org/prizes/medicine/2021/julius/facts/,2021,The Nobel Prize in Physiology or Medicine,“for their discoveries of receptors for temperature and touch”
Ardem Patapoutian,https://www.nobelprize.org/prizes/medicine/2021/patapoutian/facts/,2021,The Nobel Prize in Physiology or Medicine,“for their discoveries of receptors for temperature and touch”
Abdulrazak Gurnah,https://www.nobelprize.org/prizes/literature/2021/gurnah/facts/,2021,The Nobel Prize in Literature,“for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents”
Maria Ressa,https://www.nobelprize.org/prizes/peace/2021/ressa/facts/,2021,The Nobel Peace Prize,"“for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace”"
Dmitry Muratov,https://www.nobelprize.org/prizes/peace/2021/muratov/facts/,2021,The Nobel Peace Prize,"“for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace”"
David Card,https://www.nobelprize.org/prizes/economic-sciences/2021/card/facts/,2021,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his empirical contributions to labour economics”
Joshua D. Angrist,https://www.nobelprize.org/prizes/economic-sciences/2021/angrist/facts/,2021,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his empirical contributions to labour economics”
Guido W. Imbens,https://www.nobelprize.org/prizes/economic-sciences/2021/imbens/facts/,2021,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his empirical contributions to labour economics”
Roger Penrose,https://www.nobelprize.org/prizes/physics/2020/penrose/facts/,2020,The Nobel Prize in Physics,“for the discovery that black hole formation is a robust prediction of the general theory of relativity”
Reinhard Genzel,https://www.nobelprize.org/prizes/physics/2020/genzel/facts/,2020,The Nobel Prize in Physics,“for the discovery that black hole formation is a robust prediction of the general theory of relativity”
Andrea Ghez,https://www.nobelprize.org/prizes/physics/2020/ghez/facts/,2020,The Nobel Prize in Physics,“for the discovery that black hole formation is a robust prediction of the general theory of relativity”
Emmanuelle Charpentier,https://www.nobelprize.org/prizes/chemistry/2020/charpentier/facts/,2020,The Nobel Prize in Chemistry,“for the development of a method for genome editing”
Jennifer A. Doudna,https://www.nobelprize.org/prizes/chemistry/2020/doudna/facts/,2020,The Nobel Prize in Chemistry,“for the development of a method for genome editing”
Harvey J. Alter,https://www.nobelprize.org/prizes/medicine/2020/alter/facts/,2020,The Nobel Prize in Physiology or Medicine,“for the discovery of Hepatitis C virus”
Michael Houghton,https://www.nobelprize.org/prizes/medicine/2020/houghton/facts/,2020,The Nobel Prize in Physiology or Medicine,“for the discovery of Hepatitis C virus”
Charles M. Rice,https://www.nobelprize.org/prizes/medicine/2020/rice/facts/,2020,The Nobel Prize in Physiology or Medicine,“for the discovery of Hepatitis C virus”
Louise Glück,https://www.nobelprize.org/prizes/literature/2020/gluck/facts/,2020,The Nobel Prize in Literature,“for her unmistakable poetic voice that with austere beauty makes individual existence universal”
World Food Programme,https://www.nobelprize.org/prizes/peace/2020/wfp/facts/,2020,The Nobel Peace Prize,"“for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict”"
Paul R. Milgrom,https://www.nobelprize.org/prizes/economic-sciences/2020/milgrom/facts/,2020,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for improvements to auction theory and inventions of new auction formats”
Robert B. Wilson,https://www.nobelprize.org/prizes/economic-sciences/2020/wilson/facts/,2020,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for improvements to auction theory and inventions of new auction formats”
James Peebles,https://www.nobelprize.org/prizes/physics/2019/peebles/facts/,2019,The Nobel Prize in Physics,“for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos”
Michel Mayor,https://www.nobelprize.org/prizes/physics/2019/mayor/facts/,2019,The Nobel Prize in Physics,“for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos”
Didier Queloz,https://www.nobelprize.org/prizes/physics/2019/queloz/facts/,2019,The Nobel Prize in Physics,“for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos”
John B. Goodenough,https://www.nobelprize.org/prizes/chemistry/2019/goodenough/facts/,2019,The Nobel Prize in Chemistry,“for the development of lithium-ion batteries”
M. Stanley Whittingham,https://www.nobelprize.org/prizes/chemistry/2019/whittingham/facts/,2019,The Nobel Prize in Chemistry,“for the development of lithium-ion batteries”
Akira Yoshino,https://www.nobelprize.org/prizes/chemistry/2019/yoshino/facts/,2019,The Nobel Prize in Chemistry,“for the development of lithium-ion batteries”
William G. Kaelin Jr,https://www.nobelprize.org/prizes/medicine/2019/kaelin/facts/,2019,The Nobel Prize in Physiology or Medicine,“for their discoveries of how cells sense and adapt to oxygen availability”
Sir Peter J. Ratcliffe,https://www.nobelprize.org/prizes/medicine/2019/ratcliffe/facts/,2019,The Nobel Prize in Physiology or Medicine,“for their discoveries of how cells sense and adapt to oxygen availability”
Gregg L. Semenza,https://www.nobelprize.org/prizes/medicine/2019/semenza/facts/,2019,The Nobel Prize in Physiology or Medicine,“for their discoveries of how cells sense and adapt to oxygen availability”
Peter Handke,https://www.nobelprize.org/prizes/literature/2019/handke/facts/,2019,The Nobel Prize in Literature,“for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience”
Abiy Ahmed Ali,https://www.nobelprize.org/prizes/peace/2019/abiy/facts/,2019,The Nobel Peace Prize,"“for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea”"
Abhijit Banerjee,https://www.nobelprize.org/prizes/economic-sciences/2019/banerjee/facts/,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their experimental approach to alleviating global poverty”
Esther Duflo,https://www.nobelprize.org/prizes/economic-sciences/2019/duflo/facts/,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their experimental approach to alleviating global poverty”
Michael Kremer,https://www.nobelprize.org/prizes/economic-sciences/2019/kremer/facts/,2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their experimental approach to alleviating global poverty”
Arthur Ashkin,https://www.nobelprize.org/prizes/physics/2018/ashkin/facts/,2018,The Nobel Prize in Physics,“for groundbreaking inventions in the field of laser physics”
Gérard Mourou,https://www.nobelprize.org/prizes/physics/2018/mourou/facts/,2018,The Nobel Prize in Physics,“for groundbreaking inventions in the field of laser physics”
Donna Strickland,https://www.nobelprize.org/prizes/physics/2018/strickland/facts/,2018,The Nobel Prize in Physics,“for groundbreaking inventions in the field of laser physics”
Frances H. Arnold,https://www.nobelprize.org/prizes/chemistry/2018/arnold/facts/,2018,The Nobel Prize in Chemistry,“for the directed evolution of enzymes”
George P. Smith,https://www.nobelprize.org/prizes/chemistry/2018/smith/facts/,2018,The Nobel Prize in Chemistry,“for the directed evolution of enzymes”
Sir Gregory P. Winter,https://www.nobelprize.org/prizes/chemistry/2018/winter/facts/,2018,The Nobel Prize in Chemistry,“for the directed evolution of enzymes”
James P. Allison,https://www.nobelprize.org/prizes/medicine/2018/allison/facts/,2018,The Nobel Prize in Physiology or Medicine,“for their discovery of cancer therapy by inhibition of negative immune regulation”
Tasuku Honjo,https://www.nobelprize.org/prizes/medicine/2018/honjo/facts/,2018,The Nobel Prize in Physiology or Medicine,“for their discovery of cancer therapy by inhibition of negative immune regulation”
Olga Tokarczuk,https://www.nobelprize.org/prizes/literature/2018/tokarczuk/facts/,2018,The Nobel Prize in Literature,“for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life”
Denis Mukwege,https://www.nobelprize.org/prizes/peace/2018/mukwege/facts/,2018,The Nobel Peace Prize,“for their efforts to end the use of sexual violence as a weapon of war and armed conflict”
Nadia Murad,https://www.nobelprize.org/prizes/peace/2018/murad/facts/,2018,The Nobel Peace Prize,“for their efforts to end the use of sexual violence as a weapon of war and armed conflict”
William D. Nordhaus,https://www.nobelprize.org/prizes/economic-sciences/2018/nordhaus/facts/,2018,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for integrating climate change into long-run macroeconomic analysis”
Paul M. Romer,https://www.nobelprize.org/prizes/economic-sciences/2018/romer/facts/,2018,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for integrating climate change into long-run macroeconomic analysis”
Rainer Weiss,https://www.nobelprize.org/prizes/physics/2017/weiss/facts/,2017,The Nobel Prize in Physics,“for decisive contributions to the LIGO detector and the observation of gravitational waves”
Barry C. Barish,https://www.nobelprize.org/prizes/physics/2017/barish/facts/,2017,The Nobel Prize in Physics,“for decisive contributions to the LIGO detector and the observation of gravitational waves”
Kip S. Thorne,https://www.nobelprize.org/prizes/physics/2017/thorne/facts/,2017,The Nobel Prize in Physics,“for decisive contributions to the LIGO detector and the observation of gravitational waves”
Jacques Dubochet,https://www.nobelprize.org/prizes/chemistry/2017/dubochet/facts/,2017,The Nobel Prize in Chemistry,“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”
Joachim Frank,https://www.nobelprize.org/prizes/chemistry/2017/frank/facts/,2017,The Nobel Prize in Chemistry,“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”
Richard Henderson,https://www.nobelprize.org/prizes/chemistry/2017/henderson/facts/,2017,The Nobel Prize in Chemistry,“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”
Jeffrey C. Hall,https://www.nobelprize.org/prizes/medicine/2017/hall/facts/,2017,The Nobel Prize in Physiology or Medicine,“for their discoveries of molecular mechanisms controlling the circadian rhythm”
Michael Rosbash,https://www.nobelprize.org/prizes/medicine/2017/rosbash/facts/,2017,The Nobel Prize in Physiology or Medicine,“for their discoveries of molecular mechanisms controlling the circadian rhythm”
Michael W. Young,https://www.nobelprize.org/prizes/medicine/2017/young/facts/,2017,The Nobel Prize in Physiology or Medicine,“for their discoveries of molecular mechanisms controlling the circadian rhythm”
Kazuo Ishiguro,https://www.nobelprize.org/prizes/literature/2017/ishiguro/facts/,2017,The Nobel Prize in Literature,"“who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world”"
International Campaign to Abolish Nuclear Weapons,https://www.nobelprize.org/prizes/peace/2017/ican/facts/,2017,The Nobel Peace Prize,“for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons”
Richard H. Thaler,https://www.nobelprize.org/prizes/economic-sciences/2017/thaler/facts/,2017,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his contributions to behavioural economics”
David J. Thouless,https://www.nobelprize.org/prizes/physics/2016/thouless/facts/,2016,The Nobel Prize in Physics,“for theoretical discoveries of topological phase transitions and topological phases of matter”
F. Duncan M. Haldane,https://www.nobelprize.org/prizes/physics/2016/haldane/facts/,2016,The Nobel Prize in Physics,“for theoretical discoveries of topological phase transitions and topological phases of matter”
J. Michael Kosterlitz,https://www.nobelprize.org/prizes/physics/2016/kosterlitz/facts/,2016,The Nobel Prize in Physics,“for theoretical discoveries of topological phase transitions and topological phases of matter”
Jean-Pierre Sauvage,https://www.nobelprize.org/prizes/chemistry/2016/sauvage/facts/,2016,The Nobel Prize in Chemistry,“for the design and synthesis of molecular machines”
Sir J. Fraser Stoddart,https://www.nobelprize.org/prizes/chemistry/2016/stoddart/facts/,2016,The Nobel Prize in Chemistry,“for the design and synthesis of molecular machines”
Bernard L. Feringa,https://www.nobelprize.org/prizes/chemistry/2016/feringa/facts/,2016,The Nobel Prize in Chemistry,“for the design and synthesis of molecular machines”
Yoshinori Ohsumi,https://www.nobelprize.org/prizes/medicine/2016/ohsumi/facts/,2016,The Nobel Prize in Physiology or Medicine,“for his discoveries of mechanisms for autophagy”
Bob Dylan,https://www.nobelprize.org/prizes/literature/2016/dylan/facts/,2016,The Nobel Prize in Literature,“for having created new poetic expressions within the great American song tradition”
Juan Manuel Santos,https://www.nobelprize.org/prizes/peace/2016/santos/facts/,2016,The Nobel Peace Prize,“for his resolute efforts to bring the country's more than 50-year-long civil war to an end”
Oliver Hart,https://www.nobelprize.org/prizes/economic-sciences/2016/hart/facts/,2016,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to contract theory”
Bengt Holmström,https://www.nobelprize.org/prizes/economic-sciences/2016/holmstrom/facts/,2016,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their contributions to contract theory”
Takaaki Kajita,https://www.nobelprize.org/prizes/physics/2015/kajita/facts/,2015,The Nobel Prize in Physics,"“for the discovery of neutrino oscillations, which shows that neutrinos have mass”"
Arthur B. McDonald,https://www.nobelprize.org/prizes/physics/2015/mcdonald/facts/,2015,The Nobel Prize in Physics,"“for the discovery of neutrino oscillations, which shows that neutrinos have mass”"
Tomas Lindahl,https://www.nobelprize.org/prizes/chemistry/2015/lindahl/facts/,2015,The Nobel Prize in Chemistry,“for mechanistic studies of DNA repair”
Paul Modrich,https://www.nobelprize.org/prizes/chemistry/2015/modrich/facts/,2015,The Nobel Prize in Chemistry,“for mechanistic studies of DNA repair”
Aziz Sancar,https://www.nobelprize.org/prizes/chemistry/2015/sancar/facts/,2015,The Nobel Prize in Chemistry,“for mechanistic studies of DNA repair”
William C. Campbell,https://www.nobelprize.org/prizes/medicine/2015/campbell/facts/,2015,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”
Satoshi Ōmura,https://www.nobelprize.org/prizes/medicine/2015/omura/facts/,2015,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”
Tu Youyou,https://www.nobelprize.org/prizes/medicine/2015/tu/facts/,2015,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”
Svetlana Alexievich,https://www.nobelprize.org/prizes/literature/2015/alexievich/facts/,2015,The Nobel Prize in Literature,"“for her polyphonic writings, a monument to suffering and courage in our time”"
National Dialogue Quartet,https://www.nobelprize.org/prizes/peace/2015/tndq/facts/,2015,The Nobel Peace Prize,“for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011”
Angus Deaton,https://www.nobelprize.org/prizes/economic-sciences/2015/deaton/facts/,2015,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"“for his analysis of consumption, poverty, and welfare”"
Isamu Akasaki,https://www.nobelprize.org/prizes/physics/2014/akasaki/facts/,2014,The Nobel Prize in Physics,“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”
Hiroshi Amano,https://www.nobelprize.org/prizes/physics/2014/amano/facts/,2014,The Nobel Prize in Physics,“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”
Shuji Nakamura,https://www.nobelprize.org/prizes/physics/2014/nakamura/facts/,2014,The Nobel Prize in Physics,“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”
Eric Betzig,https://www.nobelprize.org/prizes/chemistry/2014/betzig/facts/,2014,The Nobel Prize in Chemistry,“for the development of super-resolved fluorescence microscopy”
Stefan W. Hell,https://www.nobelprize.org/prizes/chemistry/2014/hell/facts/,2014,The Nobel Prize in Chemistry,“for the development of super-resolved fluorescence microscopy”
William E. Moerner,https://www.nobelprize.org/prizes/chemistry/2014/moerner/facts/,2014,The Nobel Prize in Chemistry,“for the development of super-resolved fluorescence microscopy”
John O'Keefe,https://www.nobelprize.org/prizes/medicine/2014/okeefe/facts/,2014,The Nobel Prize in Physiology or Medicine,“for their discoveries of cells that constitute a positioning system in the brain”
May-Britt Moser,https://www.nobelprize.org/prizes/medicine/2014/may-britt-moser/facts/,2014,The Nobel Prize in Physiology or Medicine,“for their discoveries of cells that constitute a positioning system in the brain”
Edvard I. Moser,https://www.nobelprize.org/prizes/medicine/2014/edvard-moser/facts/,2014,The Nobel Prize in Physiology or Medicine,“for their discoveries of cells that constitute a positioning system in the brain”
Patrick Modiano,https://www.nobelprize.org/prizes/literature/2014/modiano/facts/,2014,The Nobel Prize in Literature,"“for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation”"
Kailash Satyarthi,https://www.nobelprize.org/prizes/peace/2014/satyarthi/facts/,2014,The Nobel Peace Prize,“for their struggle against the suppression of children and young people and for the right of all children to education”
Malala Yousafzai,https://www.nobelprize.org/prizes/peace/2014/yousafzai/facts/,2014,The Nobel Peace Prize,“for their struggle against the suppression of children and young people and for the right of all children to education”
Jean Tirole,https://www.nobelprize.org/prizes/economic-sciences/2014/tirole/facts/,2014,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for his analysis of market power and regulation”
François Englert,https://www.nobelprize.org/prizes/physics/2013/englert/facts/,2013,The Nobel Prize in Physics,"“for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider”"
Peter Higgs,https://www.nobelprize.org/prizes/physics/2013/higgs/facts/,2013,The Nobel Prize in Physics,"“for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider”"
Martin Karplus,https://www.nobelprize.org/prizes/chemistry/2013/karplus/facts/,2013,The Nobel Prize in Chemistry,“for the development of multiscale models for complex chemical systems”
Michael Levitt,https://www.nobelprize.org/prizes/chemistry/2013/levitt/facts/,2013,The Nobel Prize in Chemistry,“for the development of multiscale models for complex chemical systems”
Arieh Warshel,https://www.nobelprize.org/prizes/chemistry/2013/warshel/facts/,2013,The Nobel Prize in Chemistry,“for the development of multiscale models for complex chemical systems”
James E. Rothman,https://www.nobelprize.org/prizes/medicine/2013/rothman/facts/,2013,The Nobel Prize in Physiology or Medicine,"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”"
Randy W. Schekman,https://www.nobelprize.org/prizes/medicine/2013/schekman/facts/,2013,The Nobel Prize in Physiology or Medicine,"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”"
Thomas C. Südhof,https://www.nobelprize.org/prizes/medicine/2013/sudhof/facts/,2013,The Nobel Prize in Physiology or Medicine,"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”"
Alice Munro,https://www.nobelprize.org/prizes/literature/2013/munro/facts/,2013,The Nobel Prize in Literature,“master of the contemporary short story”
Organisation for the Prohibition of Chemical Weapons,https://www.nobelprize.org/prizes/peace/2013/opcw/facts/,2013,The Nobel Peace Prize,“for its extensive efforts to eliminate chemical weapons”
Eugene F. Fama,https://www.nobelprize.org/prizes/economic-sciences/2013/fama/facts/,2013,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their empirical analysis of asset prices”
Lars Peter Hansen,https://www.nobelprize.org/prizes/economic-sciences/2013/hansen/facts/,2013,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their empirical analysis of asset prices”
Robert J. Shiller,https://www.nobelprize.org/prizes/economic-sciences/2013/shiller/facts/,2013,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for their empirical analysis of asset prices”
Serge Haroche,https://www.nobelprize.org/prizes/physics/2012/haroche/facts/,2012,The Nobel Prize in Physics,“for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems”
David J. Wineland,https://www.nobelprize.org/prizes/physics/2012/wineland/facts/,2012,The Nobel Prize in Physics,“for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems”
Robert J. Lefkowitz,https://www.nobelprize.org/prizes/chemistry/2012/lefkowitz/facts/,2012,The Nobel Prize in Chemistry,“for studies of G-protein-coupled receptors”
Brian Kobilka,https://www.nobelprize.org/prizes/chemistry/2012/kobilka/facts/,2012,The Nobel Prize in Chemistry,“for studies of G-protein-coupled receptors”
Sir John B. Gurdon,https://www.nobelprize.org/prizes/medicine/2012/gurdon/facts/,2012,The Nobel Prize in Physiology or Medicine,“for the discovery that mature cells can be reprogrammed to become pluripotent”
Shinya Yamanaka,https://www.nobelprize.org/prizes/medicine/2012/yamanaka/facts/,2012,The Nobel Prize in Physiology or Medicine,“for the discovery that mature cells can be reprogrammed to become pluripotent”
Mo Yan,https://www.nobelprize.org/prizes/literature/2012/yan/facts/,2012,The Nobel Prize in Literature,"“who with hallucinatory realism merges folk tales, history and the contemporary”"
European Union,https://www.nobelprize.org/prizes/peace/2012/eu/facts/,2012,The Nobel Peace Prize,"“for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe”"
Alvin E. Roth,https://www.nobelprize.org/prizes/economic-sciences/2012/roth/facts/,2012,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for the theory of stable allocations and the practice of market design”
Lloyd S. Shapley,https://www.nobelprize.org/prizes/economic-sciences/2012/shapley/facts/,2012,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,“for the theory of stable allocations and the practice of market design”
Saul Perlmutter,https://www.nobelprize.org/prizes/physics/2011/perlmutter/facts/,2011,The Nobel Prize in Physics,“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”
Brian P. Schmidt,https://www.nobelprize.org/prizes/physics/2011/schmidt/facts/,2011,The Nobel Prize in Physics,“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”
Adam G. Riess,https://www.nobelprize.org/prizes/physics/2011/riess/facts/,2011,The Nobel Prize in Physics,“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”
Dan Shechtman,https://www.nobelprize.org/prizes/chemistry/2011/shechtman/facts/,2011,The Nobel Prize in Chemistry,“for the discovery of quasicrystals”
Bruce A. Beutler,https://www.nobelprize.org/prizes/medicine/2011/beutler/facts/,2011,The Nobel Prize in Physiology or Medicine,“for their discoveries concerning the activation of innate immunity”
